comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
0.7022775,7.629118,7.2226906,2.8114004,5.899369,0.0,7.979069,4.713125,1008002_B.jpg
0.67815953,7.784126,7.49422,2.7454147,5.844021,0.0,7.714909,4.7257895,1008002_F.jpg
0.73982334,7.82501,5.616591,4.4746737,6.4246984,0.0,7.5197544,4.4820104,1008003_B.jpg
0.7334444,7.889739,5.697682,4.4730973,6.620075,0.0,7.456568,4.4899426,1008003_F.jpg
0.5338189,5.581106,4.3573375,3.552518,5.570248,0.0,9.185352,4.3156486,1012144_B.jpg
0.5481721,5.557423,4.327939,3.5422149,5.563655,0.0,9.214957,4.291609,1012144_F.jpg
0.7106656,7.794883,7.360215,3.2300432,4.9545703,0.0,7.6734505,4.6731544,1012188_B.jpg
0.70815825,7.75065,7.3563056,3.2367573,4.970852,0.0,7.6785374,4.722435,1012188_F.jpg
0.50698304,3.659751,3.0062673,2.9973855,4.8137174,0.0,10.76795,4.0121465,1014067_B.jpg
0.50555974,3.678331,3.00963,2.9957294,4.8244085,0.0,10.736596,4.01723,1014067_F.jpg
0.5510956,4.966584,3.494871,3.210278,5.2666063,0.0,9.7363205,4.004924,1014238_B.jpg
0.5357372,5.0238714,3.584559,3.3504481,5.235069,0.0,9.64287,4.0472536,1014238_F.jpg
0.5753157,6.524933,5.7286487,2.9900875,5.6649446,0.0,9.604086,4.2022643,1015257_B.jpg
0.57572204,6.61993,5.864116,3.0176826,5.5190425,0.0,9.520689,4.2546506,1015257_F.jpg
0.5170458,6.097125,4.4579625,3.5926027,5.6630273,0.0,9.335401,4.0367055,1015258_B.jpg
0.50696373,6.2106805,4.4707155,3.639348,5.731453,0.0,9.254696,4.028861,1015258_F.jpg
0.791503,9.395735,6.9482994,5.2613144,7.247363,0.0,6.315964,4.810961,1016068_B.jpg
0.8140763,9.885143,7.109753,5.1669407,7.031466,0.0,6.3778625,4.7851257,1016068_F.jpg
0.57933074,5.8903904,4.951611,2.9056256,4.840533,0.0,9.366947,4.331705,1016330_B.jpg
0.5988926,5.8931074,5.1901,2.8888783,4.7726965,0.0,9.384525,4.316292,1016330_F.jpg
1.372658,6.7998147,5.3694887,4.1178584,5.4055557,0.0,7.6745515,3.7463307,1019386_B.jpg
1.2967957,7.0967216,5.750612,4.148773,5.411918,0.0,7.6394863,3.880506,1019386_F.jpg
0.539991,6.0605097,5.3893943,3.0343447,4.7189817,0.0,9.061823,4.0947027,1019494_B.jpg
0.57395726,6.1192875,5.3160005,3.1015763,4.872353,0.0,9.131315,4.086574,1019494_F.jpg
0.5253911,4.221341,3.3315072,2.9989347,4.7475033,0.0,10.158865,3.9744449,1019505_B.jpg
0.51918817,4.33813,3.3586857,2.930684,4.8285913,0.0,10.240513,3.9895175,1019505_F.jpg
0.5215591,3.930739,3.1171088,2.9766498,4.841204,0.0,10.412785,3.9630156,1020279_B.jpg
0.52782595,4.1045704,3.1842992,2.9632292,4.8661346,0.0,10.365085,3.9658499,1020279_F.jpg
0.65979874,7.7249446,7.306406,3.009616,5.405146,0.0,8.082363,4.806224,1020301_B.jpg
